nome_societa,email,scheda_tc,stato,data_contatto,note
A.S.D. L Aquila 1927,escuela.aq21@gmail.com,,Da contattare,,
A.S.D. Villa Sant'Angelo,asdvilla65@gmail.com,,Da contattare,,
A.S.D. Tornimparte 2002,asdtornimparte2002@libero.it,,Da contattare,,
Asd Accademia Peligna,accademiapeligna@gmail.com,,Da contattare,,
S.P.D. Amiternina Scoppito,segreteria@amiternina.it,,Da contattare,,
ASD Polisportiva Dilettantistica Scoppito,pol.d.scoppito@gmail.com,,Da contattare,,
ASD FUCENSE 1922,fucensetrasacco1922@gmail.com,,Da contattare,,
A.S.D. Miglianico Calcio,settoregiovanile@miglianicocalcio.it,,Da contattare,,
A.P.D. Cupello Academy,apdcupelloacademy@gmail.com,,Da contattare,,
A.S.D. S.Vito 83 L.D.N.,sanvito83@libero.it,,Da contattare,,
A.S.D. Lupi Marini,alessandro.presenza@virgilio.it,,Da contattare,,
A.S.D. Guardiagrele 2016,asdguardiagrele2016@gmail.com,,Da contattare,,
P.G.S. Vigor Don Bosco ASD,a.laverghetta@gmail.com,,Da contattare,,
A.S.D. Victoria Cross Ortona,asdvictoriacross@libero.it,,Da contattare,,
A.S.D. VIRTUS CUPELLO,virtuscupello2019@gmail.com,,Da contattare,,
ASD MAIELLA CALCIO,info@maxcar1.it,,Da contattare,,
SSD Chieti FC 1922 Srl,ssdchieticalcio1922@legalmail.it,,Da contattare,,
Asd Real Casale,asdrealcasale2022@libero.it,,Da contattare,,
ASD CASOLANA,casolana@alice.it,,Da contattare,,
Academy Frentana 2020,asdacademyfrentana2020@gmail.com,,Da contattare,,
A.S.D. Montesilvano 2015,segreteria@asdmontesilvano2015.it,,Da contattare,,
A.S.D. Cantera Adriatica 1975,asdcanteraadriaticapescara@gmail.com,,Da contattare,,
A.S.D. Manoppello Arabona,manoppelloarabona@gmail.com,,Da contattare,,
ASD Curi Pescara,tesseramentocuripescara@gmail.com,,Da contattare,,
TURRIS CALCIO PESCARA,turriscalciovalpescara@gmail.com,,Da contattare,,
ACCADEMIA SOCCER SSD A RL,accademiasoccer@gmail.com,,Da contattare,,
ASD CEPAGATTI,segreteria@cepagatticalcio.it,,Da contattare,,
MV6 Academy Manoppello,manoppellomv6academy@gmail.com,,Da contattare,,
A.S.D. GLADIUS PESCARA 2010,info@gladiuspescara.it,,Da contattare,,
Olimpia Popoli ASD,olimpiapopoli@libero.it,,Da contattare,,
Delfino Pescara Under 13 Zanni,scuolacalcio@pescaracalcio.com,,Da contattare,,
SSD ARL FAIR PLAY COLLECORVINO,fairplaycollecorvino@gmail.com,,Da contattare,,
Asd Pro Tirino Calcio Pescara,Pro.tirino@virgilio.it,,Da contattare,,
Delfino International Academy,academy@pescaracalcio.com,,Da contattare,,
A.S.D. Virtus Scerne 2004,segreteria@asdvirtusscerne2004.it,,Da contattare,,
A.S.D. Lisciani Teramo,liscianiteramo@gmail.com,,Da contattare,,
Santegidiese 1948 Ssd Arl,info@santegidiese1948ssd.it,,Da contattare,,
Pineto Calcio SRL,aspinetocalcio@virgilio.it,,Da contattare,,
A.S.D. SOCCER ACADEMY,academysoccerschool@gmail.com,,Da contattare,,
ASD New Futura Pineto Calcio ARL,contabilitapinetocalcio@virgilio.it,,Da contattare,,
ASD Pineto nel Cuore,ASDPinetonelCuore@Gmail.com,,Da contattare,,
asd ludo sport,giulioettorre@hotmail.com,,Da contattare,,
A.S.D. FOOTBALL CLUB NERETO 1914,fcnereto1914@gmail.com,,Da contattare,,
ASD CAMPLI CALCIO,asd.camplicacio@gmail.com,,Da contattare,,
ASD TORTORETO,asdtortoreto1@gmail.com,,Da contattare,,
ASD GR10 ACADEMY GIULIANOVA,gr10.giampaoloruggieri@gmail.com,,Da contattare,,
