nome_societa,email,scheda_tc,stato,data_contatto,note
A.S.D. Dea Salandra,asddeasalandra@gmail.com,,Da contattare,,
KING'S SUMMER CAMP duemilaventisei,Kingsummercamp@gmail.com,,Da contattare,,
Summer Kickers,nicarme@hotmail.it,,Da contattare,,
ASD CHILDREN HOUSE,asdchildrenhouse@libero.it,,Da contattare,,
ASD Jonio,JONIOASD@GMAIL.COM,,Da contattare,,
ASD Ideale Montescaglioso,idealemontescaglioso@gmail.com,,Da contattare,,
cc,alessandrocolonna79@virgilio.it,,Da contattare,,
S.S.SANTARCANGIOLESE,dinoiaservice75@gmail.com,,Da contattare,,
ASD Polisportiva Tito,asdpolisportivatito@gmail.com,,Da contattare,,
A.S.D. Polisportiva Venosa,polisportiva.venosa@gmail.com,,Da contattare,,
ROMA CLUB VULTURE,romaclubvulture@gmail.com,,Da contattare,,
A.S.D. SPORT RUOTI,asdsportruoti2020@gmail.com,,Da contattare,,
Avigliano Calcio Academy,aviglianocalcioacademy@gmail.com,,Da contattare,,
A.S.D. RAPOLLA SOCCER ACADEMY,asdrapollasocceracademy@gmail.com,,Da contattare,,
A.S.D. JSS,juniorsoccerskill@gmail.com,,Da contattare,,
