nome_societa,email,scheda_tc,stato,data_contatto,note
A.S.D. E. Coscarello Castrolibero,scuolacalciocoscarello@virgilio.it,,Da contattare,,
A.S.D. Trebisacce,settoregiovanile.trebisacce@gmail.com,,Da contattare,,
A.S.D. Sc Alessandro Rosina,asdscalessandrorosina@gmail.com,,Da contattare,,
A.C.D. Citta Amantea 1927,giovanniberardone@libero.it,,Da contattare,,
U.S.D. Geppino Netti,usdgeppinonetti@gmail.com,,Da contattare,,
A.S.D. Mm Club Sport,m.m.clubsport@gmail.com,,Da contattare,,
A.S.D. Nuova Fiumefreddo G.A,asdnuovafiumefreddo@gmail.com,,Da contattare,,
A.S.D. Polisportiva G.Salerno,polgiovannisalerno@libero.it,,Da contattare,,
"Associazione Sportiva Dilettantistica-"A. Andreoli",asdaandreoli@alice.it,,Da contattare,,
ASD Polisportiva San Michele Donnici,info@polisportivadonnici.com,,Da contattare,,
Centro Internazionale OLIMPIA,POLOLIMPIAB612@GMAIL.COM,,Da contattare,,
A.S.D. Rogliano 1948,scuolacalcioasdrogliano1948@gmail.com,,Da contattare,,
Asd Digiesse Praiatortora,digiesse2008@yahoo.it,,Da contattare,,
ASD SEVENTEEN,asdseventeen@gmail.com,,Da contattare,,
ASD ROMUALDO MONTAGNA COSENZA,asdromualdomontagna@libero.it,,Da contattare,,
ASD FC MARCA - COSENZA CALCIO,INFO@FCMARCA.COM,,Da contattare,,
ASD SPORT ACADEMY ALTO JONIO,sportacademyaj@gmail.com,,Da contattare,,
N.S PRO COSENZA CALCIO,procosenzacalcio@gmail.com,,Da contattare,,
ASD SOCCERMONTALTO,asdsoccermontalto@libero.it,,Da contattare,,
NEXT GEN ACADEMY,nextgensegato@gmail.com,,Da contattare,,
BRETTIA,asd.brettia2025@gmail.com,,Da contattare,,
ASD SPORTING CLUB CORIGLIANO,sc.corigliano@libero.it,,Da contattare,,
City Rende F.C.,cittadirendeacademy@outlook.it,,Da contattare,,
asdceepvillaggioeuropa,asdceepvillaggioeuropa@gmail.com,,Da contattare,,
A.S.D. WOLVES UNITED ZUMPANO,infowolveszumpano@gmail.com,,Da contattare,,
ASD UENNE 5,asduenne5calcio@gmail.com,,Da contattare,,
ASD VALLE DELL'ESARO COSENZA,bartuccisgai@gmail.com,,Da contattare,,
ASD SAMBIASE 2023,presidente@asdsambiase2023.it,,Da contattare,,
ASD SCUOLA CALCIO POLISPORTIVA LAMEZIA,POLISPORTIVALAMEZIA@LIBERO.IT,,Da contattare,,
Pienne Catanzaro,asdpncatanzaro@gmail.com,,Da contattare,,
S.S.D. Kennedy J.F. 1965 Aquile,segreteriakennedy1965@gmail.com,,Da contattare,,
ASD Massimo Palanca,palancam261@gmail.com,,Da contattare,,
A.S.D. CZ Lido,asdczlido@gmail.com,,Da contattare,,
ASD VIGOR CATANZARO,segreteria.vigorcz@gmail.com,,Da contattare,,
A.S.D. Invictus Share,asdinvictusshare@gmail.com,,Da contattare,,
G.S.MARCELLINARA ASD,paonefelicepaonefelice@gmail.com,,Da contattare,,
A.S.D. Campioni Cutro,asd.campionicutro@tim.it,,Da contattare,,
ASD ACADEMY CROTONE,info@academycrotone.it,,Da contattare,,
A.S.D. CRESCENDO,asdcrescendocalcioa5@libero.it,,Da contattare,,
A.S.D. Ivan Castiglia Football Academy,scuolacalcioivancastigliafa@gmail.com,,Da contattare,,
Asd S.e.l.e.s. Gioiosa Ionica,selesgioiosa@gmail.com,,Da contattare,,
A.S.D Academy Sport Center,infoacademysc@gmail.com,,Da contattare,,
A.S.D. Bovalinese 1911,bovalinese1911@gmail.com,,Da contattare,,
Domenico Tripodi,archicalcio@libero.it,,Da contattare,,
SEGATO S.S.D. a R.L.,jsegato@yahoo.com,,Da contattare,,
A.S.D. - Seles Polistena,polistena@seles.org,,Da contattare,,
ASDC Ludos Vecchia Miniera,ludosvecchiaminiera@gmail.com,,Da contattare,,
REAL TAURIANOVA,realtaurianova@tiscali.it,,Da contattare,,
A.S.D. Matici,asdmatici2018@gmail.com,,Da contattare,,
ASD Circolo Tennis Padel Crucitti,info@circolocrucitti.it,,Da contattare,,
La Casa di Alice,lacasadialice.rc@hotmail.it,,Da contattare,,
ASD Nuova Real Bagnara,nuovarealbagnara@gmail.com,,Da contattare,,
ASD Rosarnese,asdrosarnese@gmail.com,,Da contattare,,
PGS Aurora Gallico,pgsauroragallico@gmail.com,,Da contattare,,
San Domenico Savio,francescooppedisano@libero.it,,Da contattare,,
Nuova Bulldog Vibo SSD arl,bulldogvibo@gmail.com,,Da contattare,,
Asd Sant'Onofrio,info@santonofriocalcio.it,,Da contattare,,
A.S.D. Academy Costa Degli Dei,academycostadeglidei@gmail.com,,Da contattare,,
ASD PIZZO,asdpizzo2024@gmail.com,,Da contattare,,
A.S.D. VIBONESE SETTORE GIOVANILE,asdvibonesesg@gmail.com,,Da contattare,,
ASD REAL LIMBADI 2024,asdreallimbadi.scuolacalcio@gmail.com,,Da contattare,,
Nexgen Accademy A.S.D.,nexgenacademy.asd@gmail.com,,Da contattare,,
ASD Comprensorio Vibonese,asdcomprensoriovibonese@gmail.com,,Da contattare,,
