nome_societa,email,scheda_tc,stato,data_contatto,note
A.S.D. Polisportiva Calitri,POLISPORTIVA.CALITRI@GMAIL.COM,,Inviato,2026-07-22,
A.S.D. Atletico Manocalzati,andreaimparato23@gmail.com,,Inviato,2026-07-22,
Asd Sporting Lioni,asdsportinglioni@gmail.com,,Inviato,2026-07-22,
Ssd a r.l. Atripalda,ssd.atripalda@gmail.com,,Inviato,2026-07-22,
Lions Mons Militum Montemiletto,scuolacalciolions@libero.it,,Inviato,2026-07-22,
Cantera Avellino,Asdcanteravellino@gmail.com,,Inviato,2026-07-22,
ASD CANTERA AVELLINO ACADEMY,Asdcanteravellino@gmail.com,,Inviato,2026-07-22,
A.S.D POLISPORTIVA COMPRENSORIO MISCANO,samueliorillo@gmail.com,,Inviato,2026-07-22,
TC CALCIO MERCOGLIANO,mercuriosportingclub@gmail.com,,Inviato,2026-07-22,
GREEN WOLVES ACADEMY,asdpssolopernumeri1@libero.it,,Inviato,2026-07-22,
ASD Scuola Calcio Valle Telesina,scvalletelesina@gmail.com,,Inviato,2026-07-22,
Asd Giada Club Montesarchio,micheledamiano@virgilio.it,,Inviato,2026-07-22,
A.S.D. Football Club San Giorgio,deviziopaolo@gmail.com,,Inviato,2026-07-22,
A.S.D. POLISPORTIVA SPORTING PIETRELCINA,sportingpietrelcina@gmail.com,,Inviato,2026-07-22,
Erga Sport BN,ergasportbn@gmail.com,,Inviato,2026-07-22,
Ivan TAMMARIELLO,asdrealsanprisco2019@gmail.com,,Inviato,2026-07-22,
A.S.D. Sporting Club San Luciano,alberta.canciello@libero.it,,Inviato,2026-07-22,
S.S.D. Agorà Academy Srl,segreteria@scuolacalcioagora.it,,Inviato,2026-07-22,
A.S.D. Monte Maggiore Futsal,gianlucaciopp@gmail.com,,Inviato,2026-07-22,
ASD FC Marcianise,cicciogigliof@me.com,,Inviato,2026-07-22,
A.S.D. Juve San Prisco,juvesanprisco@gmail.com,,Inviato,2026-07-22,
ASD NEW GS CAPODRISE,newgscapodrise@gmail.com,,Inviato,2026-07-22,
U.S.C. Gladiators,uscgladiators.office@gmail.com,,Inviato,2026-07-22,
F.C. Lions Academy,fclionsacademy@gmail.com,,Inviato,2026-07-22,
ASD SSC CAPUA,sscalciocapua@gmail.com,,Inviato,2026-07-22,
ASD MACERATA CALCIO 2018,asdmaceratac.2018@libero.it,,Inviato,2026-07-22,
Asd Sant'Andrea Football,asdsantandreafootball@gmail.com,,Inviato,2026-07-22,
Enzo moretti academy,enzomoretti1976@libero.it,,Inviato,2026-07-22,
ASD FC REAL MIGNANO,asdrealmignano@gmail.com,,Inviato,2026-07-22,
ASD LA FENICE CALCIO,scuolacalciolafenice@gmail.com,,Inviato,2026-07-22,
ASD ESERCITO GARIBALDI,estiamoinsiemeconlosport@gmail.com,,Inviato,2026-07-22,
