nome_societa,email,scheda_tc,stato,data_contatto,note
Murri San Lazzaro SSD ARL,Murricalcio@gmail.com,,Da contattare,,
AIRONE PETRONIANO ASD,segreteria@sportingairone.it,,Da contattare,,
A.S.D. Enjoy Football Club 2019,infoenjoyfc@gmail.com,,Da contattare,,
Imolese,info@imolesecalcio1919.it,,Da contattare,,
A.S.D. Stella Azzurra Zolino,ACSTELLAAZZURRA@GMAIL.COM,,Da contattare,,
Medicina Fossatone A.S.D.,segreteriamedifossa@gmail.com,,Da contattare,,
A.S.D. Vergato,vergatoasd@gmail.com,,Da contattare,,
A.S.D. Ponte Ronca,asdponteronca@gmail.com,,Da contattare,,
Pol. Funo,calciofuno@gmail.com,,Da contattare,,
Felsina Ssd Arl,info@felsinacalcio.it,,Da contattare,,
ASD Libertas Argile Vigor Pieve,libertasvigor@virgilio.it,,Da contattare,,
Polisportiva Ceretolese A.S.D.,polceretolese@gmail.com,,Da contattare,,
A.C. Atletico Borgo 1993 Asd,ATLETICOBORGO93@GMAIL.COM,,Da contattare,,
Ssdarl Idea Calcio Petroniano,ideacalcio2000@virgilio.it,,Da contattare,,
Asd Cs Alfio Pizzi 1992,alfiopizzi92@gmail.com,,Da contattare,,
MSP CALCIO A.S.D.,montesanpietrocalcio@libero.it,,Da contattare,,
A.C.D. Basca 2002,acdbasca2002@gmail.com,,Da contattare,,
S.C.D. Progresso,Info@progressocalcio.it,,Da contattare,,
A.C. OSTERIA GRANDE SSD a R.L.,INFO@AC-OSTERIAGRANDE.IT,,Da contattare,,
Us Reno Molinella 1911 Asd,info@usreno.it,,Da contattare,,
Granamica Asd,segreteria@granamica.it,,Da contattare,,
SAN DONATO CALCIO ASD APS,segreteria@sandonatocalcio1948.it,,Da contattare,,
ASD CALCIO DECIMA 1938,decimacalcio1938@outlook.it,,Da contattare,,
CASTENASO CALCIO S.S.D. A R.L.,castenasocalcio@gmail.com,,Da contattare,,
Biancoblu Rayo Granamica,amministrazione@granamica.it,,Da contattare,,
A.C. Saragozza,acsaragozza@legalmail.it,,Da contattare,,
Libertas Castel San Pietro A.S.D.,libertascastelsanpietro@gmail.com,,Da contattare,,
CSD FARO GAGGIO MONTANO,segreteria.unicafaro@gmail.com,,Da contattare,,
JCR Juvenilia - C.Ravaglia,info@jcrimola.it,,Da contattare,,
Atlas ASD,segreteria@gruppoatlas.com,,Da contattare,,
EDU In-Forma(Zione) Bologna scuola calcio A.I.A.C. Renzo Cerè Asd,eduinformazione@gmail.com,,Da contattare,,
A.C. PERSICETANA SOCIETA' SPORTIVA DILETTANTISTICA - S.R.L.,info@acpersicetana.it,,Da contattare,,
Polisportiva Valsamoggia ASD,info@polisportivavalsamoggia.it,,Da contattare,,
POLISPORTIVA ATLETICO BORGO PANIGALE ASD,presidenza@polisportivaatleticobp.it,,Da contattare,,
PGS IMA ASD,info@pgsima.it,,Da contattare,,
Circolo San Girolamo di Rastignano Anspi Associazione Sportiva Dilettantistica APS ETS,circolosangirolamo@gmail.com,,Da contattare,,
UNITED VALSAMOGGIA,valsamoggiaunited@gmail.com,,Da contattare,,
Marzabotto 2000 asd,presidente@polisportivamarzabotto.it,,Da contattare,,
A.C.TOZZONA PEDAGNA,actozzonapedagna@libero.it,,Da contattare,,
Valsanterno 2009,giovanili@valsanterno.net,,Da contattare,,
CASALECCHIO 1921 S.S.D. A R.L.,casalecchio1921ssd@casalecchio1921ssd.it,,Da contattare,,
A.S.D. Porretta 1924,info@asdporretta.it,,Da contattare,,
BUGS BOLOGNA A.S.D.,bugsbologna@gmail.com,,Da contattare,,
Fossolo 76 Calcio ASD,segreteria@fossolo76.it,,Da contattare,,
NDS FC,eugeniozucca@me.com,,Da contattare,,
ASD SHARGKS ACADEMY,shargksacademy@gmail.com,,Da contattare,,
Estate Ragazzi SAMP,santantoniomariapucci@chiesadibologna.it,,Da contattare,,
A.S.D. CALCIO ZOLA PREDOSA,segreteria@zolacalcio.it,,Da contattare,,
Persiceto Calcio S.S.D. A R.L.,segreteria@persicetocalcio.it,,Da contattare,,
UNI.CA FARO PORRETTA,unicafaroporretta@gmail.com,,Da contattare,,
A.P.D Pontevecchio sez. autonoma Calcio,segreteria@pontevecchiocalcio.it,,Da contattare,,
S.S.D. AROUND SPORT s.r.l.,aroundteamasca@gmail.com,,Da contattare,,
A.S.D. Vecchiazzano,vecchiazzanocalcio@gmail.com,,Da contattare,,
A.S.D. Union Sammartinese,asd.unionsammartinese@gmail.com,,Da contattare,,
Granata Soc.Coop. A R.L,granatacalcio1978@gmail.com,,Da contattare,,
A.S.D. Savignanese,asdsavignanese@libero.it,,Da contattare,,
A.S.D. Sammaurese,sammauresecalcio@gmail.com,,Da contattare,,
A.S.D. Meldola,info@asdmeldola.com,,Da contattare,,
A.S.D. Junior Gambettola,juniorgambettola@libero.it,,Da contattare,,
A.S.D. Nuova Virtus Cesena,info@nuovavirtuscesena.it,,Da contattare,,
A.S.D Torresavio,info@torresavio.it,,Da contattare,,
Acd Fratta Terme,info@acfrattaterme.it,,Da contattare,,
NEXTGEN Villamarina,nextgensports@gmail.com,,Da contattare,,
Conti Ballarini Formare dentro e fuori dal Campo,info@cbtraining-group.it,,Da contattare,,
Bakia Cesenatico SSD A R.L,segreteria.asdbakiacesenatico@gmail.com,,Da contattare,,
F.C. Forlì Srl _Asd Pool Forli Junior,settoregiovanile@forlifc.com,,Da contattare,,
A.S.D. Polisportiva Santa Sofia,info@asdsantasofia.it,,Da contattare,,
A.S.D JUNIOR GATTEO,junior@gatteofc.it,,Da contattare,,
Il Ridotto APS ASD,info@ilridottoaps.it,,Da contattare,,
POTTER APS,associazionepotter@gmail.com,,Da contattare,,
U.S.D. SCOT DUE EMME,dueemmescot@inwind.it,,Da contattare,,
A.S.D. Pianta,segreteria@asdpianta.com,,Da contattare,,
Calcio Forlimpopoli 1928,segreteria.forlimpopolicalcio@gmail.com,,Da contattare,,
A.S.D Polisportiva Sporting Castrocaro Terra Del Sole,asdsporting.casttds@gmail.com,,Da contattare,,
A.S.D Ostellatese,asdostellatese@gmail.com,,Da contattare,,
Asd Centese Calcio,asdcentesecalcio@gmail.com,,Da contattare,,
F.C. Mesola,MESOLAFC@LIBERO.IT,,Da contattare,,
ATLETICO COSTA SSD a r.l.,info@atleticocosta.it,,Da contattare,,
C.S. S. Agostino A.S.D.,cs1910asd@gmail.com,,Da contattare,,
A.S.D. Bondeno Calcio,bondenocalcio@libero.it,,Da contattare,,
ASD CASUMARO FC,casumarocalcio@gmail.com,,Da contattare,,
X Martiri Asd,asdxmartiri@gmail.com,,Da contattare,,
ASD GUERCINO 2003,asdguercino2003@gmail.com,,Da contattare,,
USD Acli San Luca San Giorgio,aclislucasgiorgio@gmail.com,,Da contattare,,
APD SANGIOVANNESE,apdsangiovannese@gmail.com,,Da contattare,,
Heureka,Heureka.fe@gmail.com,,Da contattare,,
Gold academy ssd,Info@goldacademy2022.it,,Da contattare,,
Frutteti asd,educampfrutteti@gmail.com,,Da contattare,,
ASD PORTOMAGGIORE,asdportomaggiore@gmail.com,,Da contattare,,
ASD POLISPORTIVA CORONELLA,polisportivacoronella@gmail.com,,Da contattare,,
A.S.D. Pavullo F.C.F.,pavullofc@gmail.com,,Da contattare,,
MODENESE CALCIO SSD A RL,info@modenesecalcio.it,,Da contattare,,
Asd Seles Castelfranco Emilia,selescastelfranco@gmail.com,,Da contattare,,
A.S.D. Baracca Beach,asdbaraccabeach@gmail.com,,Da contattare,,
Robur La Pieve A.S.D.,roburlapieveasd@gmail.com,,Da contattare,,
Asd Personaggietti,asdpersonaggietti@gmail.com,,Da contattare,,
Pcs Sanmichelese Ssd a R.L.,segreteria@sanmichelese.it,,Da contattare,,
Cittadella Modena SSD A R.L. - Impresa Sociale,cittadella-vis@libero.it,,Da contattare,,
Pol. Quarantolese,pol.quarantolese@gmail.com,,Da contattare,,
U.S. Taccini,segreteria@ustaccini.it,,Da contattare,,
A.S.D. Virtus Formigine,info@virtusformigine.it,,Da contattare,,
Newcastlat FC,newcastlat@gmail.com,,Da contattare,,
Asd Serramazzoni Settore Giovanile,sernesi15@gmail.com,,Da contattare,,
ASD GS Spezzanese,gsspezzanese@gmail.com,,Da contattare,,
MARANELLO CALCIO ASD,maranellocalcio@outlook.it,,Da contattare,,
Casa del Talento,info.casadeltalento@gmail.com,,Da contattare,,
Sporting Brera,info.sporting.brera@gmail.com,,Da contattare,,
A.S.D. NEW TEAM,montorsi.michele@gmail.com,,Da contattare,,
Medolla San felice ASD,acmedolla@gmail.com,,Da contattare,,
UNITED CARPI,unitedcarpi.iscrizioni@gmail.com,,Da contattare,,
Virtus Piacenza A.Pol.D.,virtuspiacenza@gmail.com,,Da contattare,,
F.C. Rottofreno A.C.D.,FILIPPO.SOGNI@TISRL.COM,,Da contattare,,
U.S.D. Borgonovese,SEDE@USBORGONOVESE.IT,,Da contattare,,
San Lorenzo Monticelli,virtussanlorenzo@gmail.com,,Da contattare,,
U.S.D. Lugagnanese,USDLUGAGNANESE@LIBERO.IT,,Da contattare,,
Usd Gossolengo Pittolo,GOSSOLENGOPITTOLOUSD@GMAIL.COM,,Da contattare,,
A.S.D. Junior Calendasco 2015,juniorcalendasco@gmail.com,,Da contattare,,
A.S.D. Corte Calcio,cortecalcio@libero.it,,Da contattare,,
A.S.D. Alseno Calcio,michelearzani72@gmail.com,,Da contattare,,
U.S. Castelvetro Incrociatello,us.castelvetro@libero.it,,Da contattare,,
U.S.D. San Lazzaro A. Farnesiana,usdsanlazzaroa@gmail.com,,Da contattare,,
P. Podenzano 1945 asd,podenzanocalcio1945@legalmail.it,,Da contattare,,
ASD Piace20 Libertas,Asdpiace20@gmail.com,,Da contattare,,
F.C.D. RiverNiviano,riverniviano@gmail.com,,Da contattare,,
San Giuseppe Calcio,sangiu1979@gmail.com,,Da contattare,,
Academy Moretti asd,academymoretti@gmail.com,,Da contattare,,
U.S. Pontolliese1907 ASD,pontolliese.gazzola@gmail.com,,Da contattare,,
ASD Pianellese,usdpianellese@gmail.com,,Da contattare,,
A.s.d. Castellana Fontana,castellanafontana@gmail.com,,Da contattare,,
Ac Sorbolo Biancazzurra Asd,acsorbolo@gmail.com,,Da contattare,,
A.D.G.S. Bassa Parmense Calcio,bassaparmense@outlook.it,,Da contattare,,
A.C.D. Colorno,INFO@COLORNOCALCIO.COM,,Da contattare,,
ASD VICOFERTILE,asdvicofertile@yahoo.it,,Da contattare,,
G.S. Fraore,Info@gsfraore.it,,Da contattare,,
A.S.D. Felegarese 1951,asdfelegarese1951@libero.it,,Da contattare,,
Gs Felino,segreteriagsfelino@gmail.com,,Da contattare,,
U.S. Carignano A.S.D.,US.AMMINISTRAZIONE@LIBERO.IT,,Da contattare,,
ASD JUVENTUS CLUB PARMA,info@juventusclubparma.net,,Da contattare,,
Pascià Fc,pasciafcamministrazione@gmail.com,,Da contattare,,
ASDB LANGHIRANESE,as.langhiranese@libero.it,,Da contattare,,
cus parma asd,segreteria@cusparma.it,,Da contattare,,
G.S. Mercury ASD,gs.mercury@virgilio.it,,Da contattare,,
P.G.S. OR.SA.,orsaparma@gmail.com,,Da contattare,,
Associazione sportiva dilettantistica Selva,asdselva2023@gmail.com,,Da contattare,,
Inter Club Parma a.s.d.,interclubparma@libero.it,,Da contattare,,
Parma Academy,academy@parmacalcio1913.com,,Da contattare,,
US Audace A.S.D.,info@usaudace.it,,Da contattare,,
ATLETICO MONTICELLI,atleticomonticelli@gmail.com,,Da contattare,,
G.S.D BUSSETO,gsdbussetosc@yahoo.it,,Da contattare,,
GZBO,noisiamoilcraal@gmail.com,,Da contattare,,
Unione polisportiva Virtus,upvirtus@libero.it,,Da contattare,,
ASD TERRE ALTE BERCETO,terrealteberceto@gmail.com,,Da contattare,,
ASD La salle sport center,sportcenterlasalle@gmail.com,,Da contattare,,
ASD JUNIOR CALCIO,juniorfccolorno@gmail.com,,Da contattare,,
A.S.D. Real Fusignano 2009,FUSIGNANOCALCIO@LIBERO.IT,,Da contattare,,
A.S.D. Brisighella Val Lamone,segreteria@brisighellacalcio.it,,Da contattare,,
Sporting Lugo 1984 PSA,Info@sportinglugo.it,,Da contattare,,
A.S.D. Borgo Tuliero,asdborgotuliero@gmail.com,,Da contattare,,
Polisportiva Low Street Ponte Nuovo A.S.D.,info@lowponte.it,,Da contattare,,
Asd.Us S.Pietro In Vincoli,info@spiv.it,,Da contattare,,
A.S.D. FC Sparta Castelbolognese,fcspartacbolognese@libero.it,,Da contattare,,
A.S.D. Calcio Del Duca Grama,acdelduca@virgilio.it,,Da contattare,,
Polisportiva Fornace Zarattini A.S.D.,FORNACEZARATTINI@TISCALI.IT,,Da contattare,,
A.S.D. Cervia 1920,cervia1920@libero.it,,Da contattare,,
A.S.D. Santagata Sport,info@santagatasport.it,,Da contattare,,
BARACCA Lugo A.S.D.,STUOIE1982@GMAIL.COM,,Da contattare,,
Polisportiva Endas Monti,ENDASMONTICALCIO@VIRGILIO.IT,,Da contattare,,
A.S.D. Sanpaimola,sanpaimola@libero.it,,Da contattare,,
A.S.D. Massa Lombarda Calcio,massalombardacalcio@gmail.com,,Da contattare,,
ASDP Wild Bagnara,asdwildbagnara@gmail.com,,Da contattare,,
A.S.D. VIS RF Faventia,visrffaventia@gmail.com,,Da contattare,,
AC Solarolo 1970,acsolarolo1970@gmail.com,,Da contattare,,
L.A.S. ASD,info@lomboacademy.it,,Da contattare,,
Azzurra Romagna,segreteria@azzurrafc.it,,Da contattare,,
POLISPORTIVA SALINE ROMAGNA A.D.,lesalinepolisportiva@gmail.com,,Da contattare,,
NEXT LEVEL FOOTBALL,nicolo.dalmonte@nextlevelfootball.it,,Da contattare,,
