nome_societa,email,scheda_tc,stato,data_contatto,note
A.S.D. Unione Friuli Isontina,ufisontina@gmail.com,,Da contattare,,
A.S.D. Audax Sanrocchese,info.audaxsanrocchese@gmail.com,,Da contattare,,
A.S.D. Ronchi Calcio,ronchicalcio@gmail.com,,Da contattare,,
A.S.D. Pro Romans Medea,proromans@virgilio.it,,Da contattare,,
Asd Calcio Pieris 1925,asdcalciopieris1925@gmail.com,,Da contattare,,
U.S.D. Bisiaca A.S.D.,usdbisiaca@gmail.com,,Da contattare,,
A.S.D. I.S.M. Gradisca,info@ismgradisca.it,,Da contattare,,
ISONTINO CALCIO,info@isontinocalcio.it,,Da contattare,,
A.S.D. Prata Calcio,segreteria@pratacalcio.it,,Da contattare,,
U.S. Spilimbergo,us_spilimbergo@libero.it,,Da contattare,,
A.S.D. Aurora Pordenone,asdaurora@gmail.com,,Da contattare,,
Associazione Sportiva Dilettantistica SPAL CORDOVADO,segreteria@spalcordovado.it,,Da contattare,,
A.P.D.C. Chions,segreteria@chionscalcio.it,,Da contattare,,
Asd.Gs Condor,asdgscondor@gmail.com,,Da contattare,,
A.S.D. Prata Falchi Visinale,asdifalchi@gmail.com,,Da contattare,,
A.S.D. NUOVA VILLANOVA FOOTBALL CLUB,asdcalciovillanova@gmail.com,,Da contattare,,
A.S.D. Azzanese,azzanesecalcio@gmail.com,,Da contattare,,
A.S.D. Pro Fagnigola,asdprofagnigola@gmail.com,,Da contattare,,
S.S.D. Sacilese Arl,sssacilese@gmail.com,,Da contattare,,
A.S.D.C. Fiume Veneto-Bannia,info@fiumebannia.it,,Da contattare,,
A.S.D. Arzino,asdarzino@hotmail.com,,Da contattare,,
A.S.D. Liventina San Odorico,liventinasandorico@gmail.com,,Da contattare,,
Asd Calcio Maniago Vajont,asdmaniagovajont@libero.it,,Da contattare,,
A.S.D. Vivai Coop Rauscedo Gravis,vcrg.sgs@gmail.com,,Da contattare,,
A.S.D. Tiezzo 1954,amministrazione.asdtiezzo@gmail.com,,Da contattare,,
A.S.D. Comunale Fontanafredda,fontanafreddacalcio@gmail.com,,Da contattare,,
ASD RORAI PORCIA,asdroraiporcia@gmail.com,,Da contattare,,
NUOVO PORDENONE 2024 FC ASD,segreteria@pordenonefc.com,,Da contattare,,
A.S.D S.Francesco,sfrancescocalcio@libero.it,,Da contattare,,
A.S.D. Area 27,info@areaportieri27.it,,Da contattare,,
S.A.S. CASARSA,sas_casarsa@libero.it,,Da contattare,,
Sant Ignazio Ssd Arl,segreteria@santignaziocalcio.it,,Da contattare,,
AŠD-ASD ZARJA,asdzarja@virgilio.it,,Da contattare,,
Centro Giovanile Studenti A.S.D.,segreteria@cgstrieste.it,,Da contattare,,
A.S.D. Campanelle,asdcampanelle.trieste@gmail.com,,Da contattare,,
A.S.D. Montebello Don Bosco,mdb@assmontebello.191.it,,Da contattare,,
A.S.D. Club Altura,clubalturacalcio@gmail.com,,Da contattare,,
