nome_societa,email,scheda_tc,stato,data_contatto,note
A.S.D. Villaggio Calcio,villaggiocalcio@gmail.com,,Da contattare,,
A.S.D. Last One Scuola Dei Portieri,info@lastone.it,,Da contattare,,
U.S.D. Lavagnese 1919 asd,segreteria@lavagnese.com,,Da contattare,,
F.S. Sestrese Calcio 1919 A.D.,info@sestresecalcio.com,,Da contattare,,
S.O.C. San Giovanni Battista,segreteria@gssgbattista.it,,Da contattare,,
A.S.D. Vallestura Calcio,vallesturacalcio@gmail.com,,Da contattare,,
G.S.D. Bargagli San Siro,gsdbargaglisansiro@gmail.com,,Da contattare,,
A.S.D. Priaruggia Vecchio Castagna,vecchiocastagnaquarto@gmail.com,,Da contattare,,
G.S.D. San Fruttuoso,info@sanfruttuoso.net,,Da contattare,,
A.S.D. Vallescrivia 2018,asdvallescrivia@gmail.com,,Da contattare,,
A.S.D. Ca De Rissi SG,info@caderissisangottardo.it,,Da contattare,,
A.S.D. Football Genova Calcio,genovacalcio@virgilio.it,,Da contattare,,
Golfo Paradiso Pro Recco Camogli Avegno,golfoparadiso@gmail.com,,Da contattare,,
G.S.D. Sestrese Bor. 1919,sestresebor1919@gmail.com,,Da contattare,,
U.S. Angelo Baiardo SSD A.R.L.,calciobaiardo@gmail.com,,Da contattare,,
Sangio88,masala.giovanni00@icloud.com,,Da contattare,,
ASD SAN TEODORO KETZMAJA,sportingketzmaja2018@gmail.com,,Da contattare,,
ASD Rivarolese 1919,asdrivarolese@gmail.com,,Da contattare,,
S.C. Molassana Boero ASD,molassanacalcio1918@gmail.com,,Da contattare,,
Acd Sammargheritese 1903,sammlogic@libero.it,,Da contattare,,
USD POLIS GENOVA 1993,polisgenova1993@libero.it,,Da contattare,,
ASD BORGORATTI,info@borgoratti.it,,Da contattare,,
A.C. Internazionale Genova,ac.internazionale.ge@gmail.com,,Da contattare,,
S.C.D.LIGORNA 1922,info@ligorna.it,,Da contattare,,
C.F.F.S.D. CITTÀ DI COGOLETO,segreteria@cittadicogoleto.it,,Da contattare,,
ASD Virtus Albaro,asdvirtusalbaro@gmail.com,,Da contattare,,
FUTURA GENOVA ASD,segreteria@futuragenova.it,,Da contattare,,
A.S.D. Polizia Locale Genova,asdplge@gmail.com,,Da contattare,,
Busalla Calcio 1909,busallacalcio@gmail.com,,Da contattare,,
A.S.D. Rivasamba H.C.A.,inforivasamba@gmail.com,,Da contattare,,
Sampierdarenese,unionesampierdarenese@gmail.com,,Da contattare,,
Sanluca Asd,info@asdsanluca.com,,Da contattare,,
Argentina Arma S.S.D.,argentinaarmacalcio@gmail.com,,Da contattare,,
SSD Imperia Calcio Srl,settoregiovanile@ssdimperiacalcio.it,,Da contattare,,
ASD Caramagna Football Club,footballclubcaramagna@gmail.com,,Da contattare,,
Pol. Dil. Golfo Dianese 1923,segreteria.golfodianesecalcio@gmail.com,,Da contattare,,
S.S.D. ARGENTINA TAGGIA LEVA' RL,argentinaarmacalcio@gmail.com,,Da contattare,,
