nome_societa,email,scheda_tc,stato,data_contatto,note
S.S. Excelsior sezione calcio,atexc23@gmail.com,,Da contattare,,
A.S.D. Atletico Grignano,atleticogrignano@gmail.com,,Da contattare,,
NEMBRESE 1913 SSD A R.L.,segreteria@nembrese1913.it,,Da contattare,,
A.D.C. Alme,almecalcio@gmail.com,,Da contattare,,
ASD Citta di Clusone,asdcittadiclusone@gmail.com,,Da contattare,,
Gruppo Sportivo Oratori di Costa Volpino ASD,gsocostavolpino@gmail.com,,Da contattare,,
S.S.D. Mapello A R.L.,SEGRETERIA@MAPELLOCALCIO.IT,,Da contattare,,
A.S.D. Asperiam,ASDASPERIAM@GMAIL.COM,,Da contattare,,
Asd Oratorio Prolurano,oratorio.prolurano@gmail.com,,Da contattare,,
C.S.D. Uesse Sarnico 1908,info@uessesarnico.it,,Da contattare,,
Calcio Brusaporto,info@calciobrusaporto.com,,Da contattare,,
Sport Casazza S.S.D. A.R.L.,sportcasazza@gmail.com,,Da contattare,,
A.S.D. Calcio Leffe,info@calcioleffe.it,,Da contattare,,
U.S. Mariano Calcio A.S.D.,USMARIANOCALCIO@YAHOO.IT,,Da contattare,,
A.S.D. Lallio Calcio,asd.lallio.calcio@gmail.com,,Da contattare,,
A.S.D. Oratorio Albino Calcio,ORATORIOALBINOCALCIO@TISCALI.IT,,Da contattare,,
A.S.D. Immacolata Alzano,calcio@asdimmacolatalzano.it,,Da contattare,,
ASD Farese 1921,farese1921@gmail.com,,Da contattare,,
U.S. Citta Di Dalmine A.S.D.,INFO@USCITTADIDALMINE.IT,,Da contattare,,
U.S.D. V. Oratorio Petosino,VIRTUSPETOSINO@GMAIL.COM,,Da contattare,,
A.S.D. Nuova Polisportiva Orio,nuovapolisportivaorio@virgilio.it,,Da contattare,,
A.S.D. Aurora Terno,auroraterno@gmail.com,,Da contattare,,
Polisportiva dei Colli ASD,info@polbergamoalta.com,,Da contattare,,
Atalanta Bergamasca Calcio Spa,settoregiovanile@atalanta.it,,Da contattare,,
