nome_societa,email,scheda_tc,stato,data_contatto,note
F.C. Vigor Senigallia S.S.D. A R.L.,fc.senigallia@gmail.com,,Da contattare,,
ASD Jesina Calcio Srl,JESINACALCIO@LIBERO.IT,,Da contattare,,
Atletico Fabriano Asd,atleticofabriano@gmail.com,,Da contattare,,
A.S.D. SASSOFERRATO GENGA,sassogengaasd@libero.it,,Da contattare,,
S.S.D. Borghetto,ssdborghetto@gmail.com,,Da contattare,,
A.S.D. Fabriano Cerreto,segreteria@asdfabrianocerreto.it,,Da contattare,,
A.S.D.PONTEROSSO CALCIO,ponterosso1998@libero.it,,Da contattare,,
asd Passatempese,passatempese1968@libero.it,,Da contattare,,
ASD GIOVANE OFFAGNA,giovaneoffagna@gmail.com,,Da contattare,,
US Filottranese ASD,usfilottranese@gmail.com,,Da contattare,,
VIRTUS FORTITUDO 1950 Polisportiva Dilettantistica s.s.d. a r.l.,info@virtusfortitudo1950.it,,Da contattare,,
Academy CFC,academycfccastelferretti@gmail.com,,Da contattare,,
A.S.D. Palombina Vecchia,asdpalombinavecchia@libero.it,,Da contattare,,
Ascoli Calcio 1898 Fc Spa,settoregiovanile@ascolicalcio1898.it,,Da contattare,,
Offida United - S.P. Offida Asd,INFO@OFFIDACALCIO.IT,,Da contattare,,
A.S.D. Damiani & Gatti Ascoli,adversoc5@libero.it,,Da contattare,,
A.S.D. Futsal Prandone,futsalprandone@libero.it,,Da contattare,,
Asd Agraria Club,info@agrariaclub.it,,Da contattare,,
Asd Vis Stella Msp,siamo.la.vis@gmail.com,,Da contattare,,
SPORTIMPRESE PICENE SSD R.L.,amministrazione@sportimpresepicene.it,,Da contattare,,
Asd Cento Calci Settore Giovanile,CENTOCALCIASD@GMAIL.COM,,Da contattare,,
CUPRENSE 1933,segreteria@cuprense1933.it,,Da contattare,,
u.s.d.mr Sangiorgese Calcio 1922,elitesangiorgese@gmail.com,,Da contattare,,
A.S.D. Campiglione Calcio,ASDCAMPIGLIONECALCIO@GMAIL.COM,,Da contattare,,
Fermana F.C. SSD A R.L.,amministrazione@fermanafc.com,,Da contattare,,
A. S. D. POLISPORTIVA AMARANTO,polisportivaamaranto@gmail.com,,Da contattare,,
AFC Fermo ssd a R.L.,segreteria@afcfermo.com,,Da contattare,,
U.S. Tre Torri A.S.D.,ustretorri@gmail.com,,Da contattare,,
U.S. Trodica,TRODICACALCIO@HOTMAIL.COM,,Da contattare,,
Montemilone Pollenza,info@asdmontemilone.it,,Da contattare,,
S.S.SETTEMPEDA ASD,settempeda@settempedacalcio.it,,Da contattare,,
A.s.d San Severino Marche,asdsanseverino@gmail.com,,Da contattare,,
A.S.D. K-Sport Montecchio Gallo,ksportmontecchio@gmail.com,,Da contattare,,
A.S.D. MAROTTESE ARCOBALENO,asdmarottese2020arcobaleno@gmail.com,,Da contattare,,
G.S. Muraglia S.S.D. A R.L.,ssd.muraglia@gmail.com,,Da contattare,,
A.S.D. DELLA ROVERE CALCIO,dellaroverecalcio@mail.com,,Da contattare,,
A.S.D. Marotta Mondolfo,info@marottamondolfo.it,,Da contattare,,
POLISPORTIVA SANTA VENERANDA ASD,giovanilisantaveneranda@gmail.com,,Da contattare,,
ASD VF ADRIATICO,vfpesaro@gmail.com,,Da contattare,,
Fossombrone FC 1949,usfossombronecalcio@libero.it,,Da contattare,,
Virtus Castelvecchio 1984,virtuscastelvecchio1984@gmail.com,,Da contattare,,
A.S.D. Real Metauro 2018,Segreteria@Realmetauro2018.it,,Da contattare,,
Asd Urbino sdc,urbinosdc@gmail.com,,Da contattare,,
