nome_societa,email,scheda_tc,stato,data_contatto,note
MONOSPOLIS,asdmonospolis@gmail.com,,Da contattare,,
A.S.D. Virtus Palese Calcio,virtpalese@libero.it,,Da contattare,,
Pink Sport Time,FCBARIPINK@GMAIL.COM,,Da contattare,,
A.S.D. Giovani Aquile Rutigliano,f.didonna@hotmail.it,,Da contattare,,
A.S.D. Noci Azzurri 2006,nociazzurri2006@hotmail.it,,Da contattare,,
A.S.D. Nick Calcio Bari,segreteria@nickcalciobari.it,,Da contattare,,
A.S.D. Sportlandia,asdsportlandia@hotmail.it,,Da contattare,,
Asd Calciomania Castellana,asdcalciomania2012@libero.it,,Da contattare,,
A.S.D. New Football Academy Bari,newfootballbari@libero.it,,Da contattare,,
A.S.D. Gran Football Corato,granfootball2014@libero.it,,Da contattare,,
ASD SPORT GIOVANILE MOLFETTA,info@molfettagiovanile.it,,Da contattare,,
ASD TORITTO,asdtoritto@libero.it,,Da contattare,,
Asd Evolution Altamura,direzione@evolutionaltamura.it,,Da contattare,,
ATLETICO ACQUAVIVA,asdatleticoacquaviva@gmail.com,,Da contattare,,
ASD CALCIO IN ROSA SANNICANDRO DI BARI,calcioinrosasannicandrodibari@gmail.com,,Da contattare,,
ASD Balsignano Soccer School,asdbalsignanosoccerschool@gmail.com,,Da contattare,,
Polisportiva Libertas Cellamare ASD,asd_pol_libertas@libero.it,,Da contattare,,
ASD ACADEMY BARI,asdacademybari@libero.it,,Da contattare,,
Usd Academy Giovinazzo,centannicalcio@libero.it,,Da contattare,,
SSD Esperia Monopoli,esperiamonopoli@hotmail.it,,Da contattare,,
A.S.D. FOOTBALL ACADEMY GIOIA,giuseppecaserta@ymail.com,,Da contattare,,
Football Sannicandro,asdfootballsannicandro@gmail.com,,Da contattare,,
ASD Bellavista Bitonto,bitontobellavista@gmail.com,,Da contattare,,
Asd free time azzurro,asdfreetimeazzurro@hotmail.com,,Da contattare,,
A.S.D. Per Sport,asdxsport@gmail.com,,Da contattare,,
ASD PRO CALCIO BARI,procalciobari@gmail.com,,Da contattare,,
ASD POLISPORTIVA NOCI,asdpolisportivanoci@gmail.com,,Da contattare,,
Usd Olimpia Bitonto,usdolimpiabitonto@libero.it,,Da contattare,,
A.S.D. San Donaci Football Club,Sandonacifc2021@gmail.com,,Da contattare,,
ASD Monte Darena Academy,montedarenaacademy@gmail.com,,Da contattare,,
Asd.Bs Soccer Team Fasano,kikkobs@libero.it,,Da contattare,,
A.S.D. CEDAS AVIO BRINDISI,asdcedasaviobrindisi@gmail.com,,Da contattare,,
ASD OSTUNI CALCIO 24,Asdostunicalcio24@libero.it,,Da contattare,,
ASD ROBUR VILLA CASTELLI,asdroburvillacastelli@gmail.com,,Da contattare,,
ORIA CALCIO SSD,loredana.dibella@live.it,,Da contattare,,
Virtus Francavilla Calcio SSD a RL,settoregiovanile@virtusfrancavilla.it,,Da contattare,,
Scuola calcio US San Vito 1923,scuolacalciosanvito1923@gmail.com,,Da contattare,,
ASD SPORTING ORIA,asdsportingoriasgs@gmail.com,,Da contattare,,
Polisportiva Virtus Andria,amministrazione@virtusandria.it,,Da contattare,,
Oasi San Felice asd,nancypasquale@libero.it,,Da contattare,,
Jambo Park,jamboparkitalia@gmail.com,,Da contattare,,
ASD CARPEDIEM BARLETTA,marketing@asdnewcarpediem.it,,Da contattare,,
A.S.D. Eagles San Severo,segreteria_asd.eagles@outlook.it,,Da contattare,,
ASD ATLETICO APRICENA,asdatleticoapricena@libero.it,,Da contattare,,
A.S.D. CIVITA SUPER STAR,civitasuperstar@gmail.com,,Da contattare,,
Asd Accademia Manfredonia,info@accademiamanfredonia.it,,Da contattare,,
Asd Gargano Academy,asdgarganoacademy@gmail.com,,Da contattare,,
ASD VIRTUS CALCIO FOGGIA,Asdvirtusfoggia@yahoo.it,,Da contattare,,
A.S.D. ATLETICO GARGANO,atleticogargano@libero.it,,Da contattare,,
USDVICO,usdvicosc@gmail.com,,Da contattare,,
A.s.d.sant'onofrio calcio,ASD.SANTONOFRIO@LIBERO.IT,,Da contattare,,
ASD CITTÀ DI SAN NICANDRO,asdcittadisannicandrogar@gmail.com,,Da contattare,,
A.s.d Joca Bonito Foggia,asdjocabonitofoggia@libero.it,,Da contattare,,
A.S.D. Sporting Club Lecce,info@sportingclublecce.it,,Da contattare,,
A.S.D. Vernole Calcio 2017,asdvernole2017@gmail.com,,Da contattare,,
Asd Novoli calcio 1942,pressnovolicalcio@gmail.com,,Da contattare,,
Ssd Women Lecce arl,leccecalciofemminile@libero.it,,Da contattare,,
ASD Capo di Leuca,segreteria.settoregiovanile@capodileuca.org,,Da contattare,,
USD PALMARIGGI,usdpalmariggi@gmail.com,,Da contattare,,
Giovani Cryos S.S.D.A.R.L.,cryostalsano@yahoo.it,,Da contattare,,
A.S.D. Fortitudo Grottaglie,fortitudogrottaglie@libero.it,,Da contattare,,
Dribbling Academy S.S.D. A R.L.,dribblingacademyssd@gmail.com,,Da contattare,,
A.S.D. Ragazzi Sprint Crispiano,info@ragazzisprintcrispiano.it,,Da contattare,,
ASD RED BOYS,Asdredboys@libero.it,,Da contattare,,
ASD Atletico Paolo Sesto,asdatleticopaolosesto@gmail.com,,Da contattare,,
U.S.D REAL PALAGIANO,usdrealpalagiano@gmail.com,,Da contattare,,
Polisportiva San Martino A.S.D.,polisportivasm@gmail.com,,Da contattare,,
ASD SPORTING MANDURIA,asdsportingmanduria@gmail.com,,Da contattare,,
Asd Fortisstatte,asdfortisstatte@gmail.com,,Da contattare,,
Virtus Taranto Calcio,torrerossa29@virgilio.it,,Da contattare,,
ASD FUTURA MARTINA,ASDFUTURAMARTINA2013@GMAIL.COM,,Da contattare,,
ASD Marzano Academy,marzanoacademy@gmail.com,,Da contattare,,
