nome_societa,email,scheda_tc,stato,data_contatto,note
ASDPS S'Isula Futsal,sisulafutsal@gmail.com,,Da contattare,,
Sigma Calcio,sigmacalcio1979@gmail.com,,Da contattare,,
A.S.D. Sinnai Calcio A 11,asdsinnaicalcio@gmail.com,,Da contattare,,
F.C.D. Pula,fcdpula@libero.it,,Da contattare,,
ASD GIOVENTU' ASSEMINI CALCIO,gioventucalcio@gmail.com,,Da contattare,,
Il gabbiano,ilgabbianobasket@gmail.com,,Da contattare,,
A.s.d. Fairplay Lovers,info@fairplaylovers.com,,Da contattare,,
Polisportiva Sestu,polisportivasestu@tiscali.it,,Da contattare,,
G.S. Maracalagonis,gsmaracalagonis@gmail.com,,Da contattare,,
A.S.D. Polisportiva Circolo Culturale Aiace Telamonio,aiace.telamonio@yahoo.com,,Da contattare,,
Sportlife kids SSD A R.L.,info@sportlifekids.com,,Da contattare,,
Associazione "Don Bosco" APS - ASD,associazionedbselargius@gmail.com,,Da contattare,,
A.S.D CCN,ccnfutsalcup@gmail.com,,Da contattare,,
2Star asd,2starasd@gmail.com,,Da contattare,,
ASD Muravera Calcio 1965,muraveracalcio1965@gmail.com,,Da contattare,,
Atletico Cagliari,atleticocagliari@gmail.com,,Da contattare,,
ASD Vecchio Borgo Sant'Elia,asdvecchioborgo@gmail.com,,Da contattare,,
Polisportiva Ferrini Cagliari,a.ruggeri63@gmail.com,,Da contattare,,
A.S.D. Fer-Massenti S.Giovanni,fer.massenti@tiscali.it,,Da contattare,,
G.S.D. San Biagio Villasor,gsdsanbiagiovillasor@tiscali.it,,Da contattare,,
POL. KINETICA,POL.KINETICA@GMAIL.COM,,Da contattare,,
ASD SAN GIOVANNI SUERGIU,asdsangiovannisuergiu@gmail.com,,Da contattare,,
Asd Pizzinnos,koala@pizzinnos.it,,Da contattare,,
ASD Polisport Nuoro,polisportnu@gmail.com,,Da contattare,,
Olienacalcio,olienacalcio@tiscali.it,,Da contattare,,
A.D.P. Polisportiva Orani Calcio,oranicalcio@gmail.com,,Da contattare,,
Asd FONNI Calcio,asdfonnicalcio@gmail.com,,Da contattare,,
U.S.D. IRGOLESE,usd.irgolese@gmail.com,,Da contattare,,
ASD MACOMER CALCIO 1923,info@macomercalcio.it,,Da contattare,,
MONTALBOSINISCOLA,montalbosiniscola@gmail.com,,Da contattare,,
A.S.D. Loculese,asdloculese@gmail.com,,Da contattare,,
ASD OTTANA CALCIO SG,ottanacalciosg@gmail.com,,Da contattare,,
Asd Oniferi 2023,asdoniferi2023@gmail.com,,Da contattare,,
A.S.D. CALMEDIA CALCIO,asdcalmediabosa@TISCALI.IT,,Da contattare,,
S.P.D. THARROS ORISTANO,info.tharroscalcio@gmail.com,,Da contattare,,
U.S. Oristanese A.S.D.,oristanese@gmail.com,,Da contattare,,
A.S.D. Progetto Academy Campidano,info@accademiaoristano.it,,Da contattare,,
A.S.D. Nurachi Calcio,asdnurachicalcio@gmail.com,,Da contattare,,
SSD Arcidano,marcozedda1976@gmail.com,,Da contattare,,
ASD SIMAXIS FC,simaxis.fc@gmail.com,,Da contattare,,
ASD AMATORI GHILARZA OVER 40,federicofodde@gmail.com,,Da contattare,,
Asd Santa Giusta Calcio,Asdsantagiustacalcio@libero.it,,Da contattare,,
Asd Porto Cervo,asdportocervo@tiscali.it,,Da contattare,,
ASD SANTA TERESA GALLURA,asd.santateresagallura@gmail.com,,Da contattare,,
