nome_societa,email,scheda_tc,stato,data_contatto,note
Pol Fulgentissima A.D.,lilloterra@virgilio.it,,Da contattare,,
Grest estivo Fantasy Park,roberto.antona@libero.it,,Da contattare,,
U.S.D. EMPEDOCLINA,empedoclinaempedoclina@gmail.com,,Da contattare,,
S.S.D. A R.L. KAMARAT 1972,ssdkamarat1972@gmail.com,,Da contattare,,
Real Marea FC,real.marea.fc.2025@gmail.com,,Da contattare,,
A.S.D. Amo Gela Dorica,amogela@virgilio.it,,Da contattare,,
A.S.D. Masterpro Calcio,segreteria@masterprocalcio.it,,Da contattare,,
ASD Football Caltanissetta,asdfootball@virgilio.it,,Da contattare,,
Asd Alkantara,asdalkantara@gmail.com,,Da contattare,,
ASD Strumento Puntese,asdstrumentocalcio@gmail.com,,Da contattare,,
SSD ESASPORT,asdesasport21@gmail.com,,Da contattare,,
A.S.D CALCIO CLUB S.V AFFILIATA ACF FIORENTINA,calcioclubsv@tiscali.it,,Da contattare,,
A.S.D. F.C. GYMNICA SCORDIA,fcgymnica@gpbusiness.it,,Da contattare,,
Football Club Academy Sporting Eubea Asd,logaritmo.advice.press@gmail.com,,Da contattare,,
A.S.D. MAZZARRONE CALCIO,mazzarronecalcio@gmail.com,,Da contattare,,
Virtus Russocalcio,pietrorom71@outlook.it,,Da contattare,,
New Image Giarre,ssdnewimage@outlook.it,,Da contattare,,
FantaEsagonale APS,fantaesagonale@gmail.com,,Da contattare,,
A.S.D. JONIA CALCIO FOOTBALL CLUB,joniacalcio@libero.it,,Da contattare,,
B27,academy@b27official.it,,Da contattare,,
A.D.P. Argyrium,argyriumc5@yahoo.com,,Da contattare,,
Asd Atletico San Lucido,asdatleticosanlucido@libero.it,,Da contattare,,
S.S.D. SOC. COOP. a r. l. Gi.Fra. Milazzo,giframilazzo@sanpapino.it,,Da contattare,,
A.S.D. Nuova Peloro,nuovapeloro@gmail.com,,Da contattare,,
U.S.D. MESSANA 1966,USDMESSANA1966@LIBERO.IT,,Da contattare,,
A.S.D. Ludica Lipari,LUDICALIPARI@LIBERO.IT,,Da contattare,,
