nome_societa,email,scheda_tc,stato,data_contatto,note
G.S. Olmoponte Arezzo,gsolmopontearezzo@gmail.com,,Da contattare,,
U.S. Faellese A.S.D.,usfaelleseasd2@gmail.com,,Da contattare,,
S.S.Arezzo,settoregiovanile@ssarezzo.it,,Da contattare,,
SSD SANSOVINO Srl,segreteria@sansovinocalcio.it,,Da contattare,,
ASD BIBBIENA CALCIO,SEGRETERIA.ACBIBBIENA@GMAIL.COM,,Da contattare,,
ACD Tuscar,Tuscar.74@hotmail.it,,Da contattare,,
Bucine,bucineasd@libero.it,,Da contattare,,
A.S.D. VICCHIO Sandro Vignini,asd.vicchio.vignini@gmail.com,,Da contattare,,
S.S.D. Firenzuola,ssdfirenzuola@hotmail.com,,Da contattare,,
Pol. S.Piero A Sieve A.S.D.,POLSANPIERO@LIBERO.IT,,Da contattare,,
Polisportiva Avane Asd,pol.avane@libero.it,,Da contattare,,
Polisportiva Sieci ASD,calcio@polisportivasieci.it,,Da contattare,,
asd VIGOR CALCIO FEMMINILE,info@iogufo.it,,Da contattare,,
Fiesole Calcio SSDARL,fiesolecalcioofficial@gmail.com,,Da contattare,,
Real Castello,realcastello22@gmail.com,,Da contattare,,
US PONTE A ELSA 2005,infousponteaelsa@yahoo.com,,Da contattare,,
ASD GREVIGIANA,asdgrevigiana@gmail.com,,Da contattare,,
ASD FIGLINE 1965,info@figline1965.it,,Da contattare,,
F.B.C. CASTELFIORENTINO UNITED A.S.D.,info@castelfiorentinounited.it,,Da contattare,,
Polisportiva Vaglia A.S.D.,segreteria@polisportivavaglia.it,,Da contattare,,
Club Sportivo Firenze P.D.,csfirenze@clubsportivofirenze.it,,Da contattare,,
US AFFRICO,Comunicazione@usaffrico.it,,Da contattare,,
A.S.D. J.U.M.P. joy unione movimento passione,jumpcampgs@gmail.com,,Da contattare,,
A.S.D. RESCO REGGELLO,rescoreggello@legalmail.it,,Da contattare,,
ASD La Nuova Polisportiva Novoli,segreterianovoli@libero.it,,Da contattare,,
A.S.D. CERTALDESE GIOVANI,asdcertaldesegiovani@legalmail.it,,Da contattare,,
ASD La Massa,asdlamassa@gmail.com,,Da contattare,,
A. S. D. Intercomunale Santa Fiora,intercomunalesantafiora@gmail.com,,Da contattare,,
U.S.D. Paganico,uspaganico@virgilio.it,,Da contattare,,
Pro Soccer Lab,segreteria@prosoccerlab.it,,Da contattare,,
