nome_societa,email,scheda_tc,stato,data_contatto,note
A.S.D. Olimpia Merano,info@asdolimpiamerano.it,,Da contattare,,
A.S.C. Neugries,calcio@neugries.it,,Da contattare,,
A.F.C. Eppan,info@afceppan.com,,Da contattare,,
U.S. La Val,info@uslaval.it,,Da contattare,,
Celtic don Bosco,celticdonbosco@gmail.com,,Da contattare,,
Merano Atletica Running,merano.atletica.running@gmail.com,,Da contattare,,
Unione sportiva dilettantistica Sinigo-Asd,sinigocalcio@libero.it,,Da contattare,,
F.C. Gherdeina,fcgherdeina@gmail.com,,Da contattare,,
A.S.D. Real Bolzano,mirkojuri1963@gmail.com,,Da contattare,,
AmateurSportVerein MILLAND,info@asvmilland.it,,Da contattare,,
NAPOLI CLUB BOLZANO,Info@napoliclubbz.it,,Da contattare,,
Amateursportverein Vahrn,asv.vahrn@live.de,,Da contattare,,
SV Lana Fussball,fussball@svlana.it,,Da contattare,,
ASDC VIRTUS BOLZANO,segreteria@acvirtusbolzano.com,,Da contattare,,
ASV TSCHERMS,asvtscherms@outlook.com,,Da contattare,,
ASD OLTRISARCO,oltrijuve.segreteria@gmail.com,,Da contattare,,
AMATEURSPORTCLUB BARBIAN,t.gostner@icon.bz.it,,Da contattare,,
USD SALORNO RAIFFEISEN,salornocalcio@gmail.com,,Da contattare,,
U.S. Civezzano Sport,uscivezzanosport@gmail.com,,Da contattare,,
U.S. LAVIS A.S.D.,us.lavis@libero.it,,Da contattare,,
A.S.D. Sacco S.Giorgio,saccosangiorgio@gmail.com,,Da contattare,,
U.S.D. Dro Alto Garda Calcio 1951,usddroaltogarda@gmail.com,,Da contattare,,
Avio Calcio,aviocalcio87@gmail.com,,Da contattare,,
A.S.D. Calisio Calcio,info@calisiocalcio.com,,Da contattare,,
Asd Us Tione,info@ustione.net,,Da contattare,,
U.S. Ravinense,ravinense@gmail.com,,Da contattare,,
U.S.D. Montevaccino,usdmontevaccino@gmail.com,,Da contattare,,
U.S. Bassa Anaunia,RENATO.CATTANI@HOTMAIL.IT,,Da contattare,,
A.S.D. Virtus Trento,info@virtustrento.it,,Da contattare,,
A.S.D. Altopiano Paganella,info@asdaltopianopaganella.it,,Da contattare,,
U.S.D. Levico Terme,uslevicoterme@gmail.com,,Da contattare,,
U.S.D. Gardolo,gardologardolo@hotmail.com,,Da contattare,,
U.S. Alta Giudicarie A.S.D.,usaltagiudicarie@gmail.com,,Da contattare,,
A.S.D. AUDACE,info@audacecaldonazzo.it,,Da contattare,,
Asd Rovereto,info@asdrovereto.it,,Da contattare,,
ASD U.S. Robur Sporminore,usrobursporminore@gmail.com,,Da contattare,,
U.S. Sopramonte A.S.D.,info@ussopramonte.it,,Da contattare,,
BRENTA BORGO ASD,info@brentaborgo.it,,Da contattare,,
ANAUNE VAL DI NON,anaunevaldinon@gmail.com,,Da contattare,,
Aquila Trento calcio,aquilacalciotrento@yahoo.it,,Da contattare,,
A.S.D. MORI S.STEFANO,info@morisstefano.it,,Da contattare,,
SS BENACENSE 1905,ssbenacense@gmail.com,,Da contattare,,
USD Arco 1895,usarco@arcocalcio.it,,Da contattare,,
ACD Mezzocorona,mezzocoronacalcio@gmail.com,,Da contattare,,
A.S.D Fassa Calcio,info@fassacalcio.it,,Da contattare,,
Società Franz + Società Lanz,ciccio@pasticcio.com,,Da contattare,,
Union Trento,amministrazione@uniontrento.it,,Da contattare,,
VAL DI CEMBRA CALCIO,valdicembracalcio@gmail.com,,Da contattare,,
Nuovaera,info@nuovaeravacanze.it,,Da contattare,,
Società Sportiva Aldeno A.S.D.,ssaldenoasd@gmail.com,,Da contattare,,
US PIEVE di BONO ASD,uspievedibono@gmail.com,,Da contattare,,
ASD Val di Gresta,calcioa5vdg@yahoo.it,,Da contattare,,
U.S. MONTI PALLIDI,info@usmontipallidi.it,,Da contattare,,
ASD ROTALIANA,rotalianacalcio@virgilio.it,,Da contattare,,
A.S.D. Garibaldina,asd.garibaldina@gmail.com,,Da contattare,,
ASD Settaurense 1934,asdsettaurense1934@gmail.com,,Da contattare,,
US Isera 1983,usisera1983@gmail.com,,Da contattare,,
