nome_societa,email,scheda_tc,stato,data_contatto,note
A.S.D. Angelana 1930,angelana1930@gmail.com,,Da contattare,,
A.S.D. Agape Pierantonio Umberide,fcumbertideagape@gmail.com,,Da contattare,,
ASD SPOLETO - M8 Junior Spoleto,m8j.spoleto@gmail.com,,Da contattare,,
ASD Castel Del Piano 1966,segreteria@cdp1966.it,,Da contattare,,
A.S.D. Ducato Spoleto,ASD.DUCATOCALCIO@ALICE.IT,,Da contattare,,
A.S.D. La Castellana 1969,asdlacastellana69@gmail.com,,Da contattare,,
A.S.D. Polisportiva Don Bosco Gubbio,scuolacalcio@csigubbio.com,,Da contattare,,
C.S.D. Giovanili Todi,settoregiovaniletodi@virgilio.it,,Da contattare,,
A.S.D. Virtus Collina,virtuscollina@gmail.com,,Da contattare,,
Virtus Sangiustino S.S.D.,ACVIRTUS@LIBERO.IT,,Da contattare,,
Volley Club Altotevere Umbro Asd,vcaltotevere@libero.it,,Da contattare,,
Pallavolo San Giustino Ssd A R.L.,pallavolosangiustino@gmail.com,,Da contattare,,
ASD Junior Santa Sabina,Info@santasabinacalcio.it,,Da contattare,,
A.S.D. Nocera Umbra 2017,scuolacalcionoceraumbra@gmail.com,,Da contattare,,
Polisportiva C4 A.S.D.,polisportivac4asd@gmail.com,,Da contattare,,
Superga 48,usdsuperga48@gmailo.com,,Da contattare,,
A.S.D. SAN SISTO 2023,segreteria@asdsansisto2023.it,,Da contattare,,
ASD CALCIO PALAZZO,asdcalciopalazzo@gmail.com,,Da contattare,,
TORGIANO CALCIO ASD,asdtorgianocalcio@gmail.com,,Da contattare,,
Assisi Calcio Settore Giovanile,settoregiovanile@assisicalcio2023.com,,Da contattare,,
USD TREVANA 2020,usdtrevana2020@gmail.com,,Da contattare,,
ASD TENNIS MONTEFALCO FOREVER,montefalco.tennis@gmail.com,,Da contattare,,
Ssd Accademia Calcio Terni Srl,accademiacalciotr@libero.it,,Da contattare,,
A.S.D. FABRO VALDICHIANA,asdfabrovaldichiana@gmail.com,,Da contattare,,
Pol.D. Amc 98,POLAM98@POLAM98.IT,,Da contattare,,
G.S.D. Romeo Menti,GSRMENTI@TISCALI.IT,,Da contattare,,
Polisportiva Ternana S.S.D. a r.l.,calciopolisportivaternana@gmail.com,,Da contattare,,
A.S.D. G.M.T. 2005,asdgmt2005@gmail.com,,Da contattare,,
A.S.D Football Campitello,FOOTBALL.CAMPITELLO@LIBERO.IT,,Da contattare,,
Pol. Dilettantistica Campitello,campitello1973@libero.it,,Da contattare,,
GSD Alfina Fabrizio Lupi - Orvietana Academy,gsdalfina.fl2018@gmail.com,,Da contattare,,
A.S.D. AMERINA 1950,assoc.amerina@gmail.com,,Da contattare,,
ASD ORVIETO F.C.,segreteria.orvietofc@gmail.com,,Da contattare,,
