nome_societa,email,scheda_tc,stato,data_contatto,note
A.S.D. Alpago,alpagocalcio@libero.it,,Da contattare,,
ASD PLAVIS2021,asdplavis2021@gmail.com,,Da contattare,,
Unione Cadore Domegge,info@unionecadoredomegge.com,,Da contattare,,
A.S.D. Attivamente scuola e sport,attivamentescuolasport@gmail.com,,Da contattare,,
Inter Prisco,pieralessandrombezele@yahoo.it,,Da contattare,,
A.S.D. PEDAVENA CALCIO,sgpedavenacalcio@gmail.com,,Da contattare,,
Calcio San Giorgio In Bosco A.S.D.,segreteria@calciosangiorgioinbosco.it,,Da contattare,,
A.S.D. Union Voltaroncaglia,segreteria@voltaroncaglia.it,,Da contattare,,
Bioimis Tombolo Calcio,asdtombolocalcio@gmail.com,,Da contattare,,
Ssdarl Mestrinorubano F.C.,mestrinorubanofc@mestrinorubanofc.it,,Da contattare,,
Cittadella Women S.S.D.A.R.L.,info@cittadellawomen.com,,Da contattare,,
U.S. Arcella Padova Asd,segreteria@usarcella.com,,Da contattare,,
Polisportiva Olympia ASD,dibaseolympia@gmail.com,,Da contattare,,
Pol.Dil. Sacra Famiglia,sacrafamig@gmail.com,,Da contattare,,
Us Torre,info@ustorrepadova.com,,Da contattare,,
Pol. Euganea Rovolon A.S.D.,poleuganea@libero.it,,Da contattare,,
A.S.D. Calcio Montegrotto,calciomontegrotto@alice.it,,Da contattare,,
A.S.D. Janus Nova 2017,janusnova2017@gmail.com,,Da contattare,,
ASD Gianesini,gianesinicalcio.1949@gmail.com,,Da contattare,,
Ssdarl Calcio Padova C5,info@calciopadovac5.it,,Da contattare,,
U.S. Crocefisso A.S.D.,CROCEFISSOASD@ALICE.IT,,Da contattare,,
Pol. Mottinello Nuovo,info@polmottinello.net,,Da contattare,,
A.S.D. S.Caterina Stanghella,asdscaterinastanghella@gmail.com,,Da contattare,,
AQS BORGO VENETO ASD,segreteria@aqsborgoveneto.it,,Da contattare,,
A.S.D. San Martino Saonara,sanmartinosaonara@gmail.com,,Da contattare,,
LIONS VILLANOVA,asdlionsvillanova@libero.it,,Da contattare,,
A.C.D. Villafranchese,acdvillafranchese@gamil.com,,Da contattare,,
A.S.D. Armistizio Esedradonbosco,segreteria@calcioarmistizio-esedradonbosco.it,,Da contattare,,
U.S. Medoacus ASD,usmedoacuscalcio@gmail.com,,Da contattare,,
PIOVESE SSD ARL,info@piovesecalcio.it,,Da contattare,,
Polisportiva Corte,polisportivacorte1976@gmail.com,,Da contattare,,
Academy Noventa Padovana ssd arl,segreteria@academynoventapadovana.it,,Da contattare,,
ATLETICO 2000,atletico2k@gmail.com,,Da contattare,,
A.S.D. Calcio Casalserugo Maserà,casalserugomasera@gmail.com,,Da contattare,,
ACD CURTAROLESE 97,Segreteria.curtarolese97@gmail.com,,Da contattare,,
ASD POLISPORTIVA BRENTELLA,info@polisbrentella.it,,Da contattare,,
FIDES ASD,hello@asdfides.it,,Da contattare,,
ASD NEXT TEAM,asdnexteam@gmail.com,,Da contattare,,
Asd Carpine 2016,carpine2016@gmail.com,,Da contattare,,
ASD Atletico Lissaro 88,diego.rocco@atleticolissaro88.it,,Da contattare,,
A.C.D. Women Virtus Padova,Womenvirtuspadova@gmail.com,,Da contattare,,
ASD Sport Ing Padova,ingcalciopd@gmail.com,,Da contattare,,
ASD US SANT'AGOSTINO,santasegreteria@gmail.com,,Da contattare,,
U.S. R.E.A.L. PADOVA A.S.D.,info@realpadova.it,,Da contattare,,
A.S.D. CALCIO SAONARA VILLATORA,saovilla.info@gmail.com,,Da contattare,,
ASD Calcio Veneto For Disable,veneto@calciovenetofd.it,,Da contattare,,
A.S.D. ARZERELLO SPORT,infoarzerellosport@gmail.com,,Da contattare,,
Academy Plateola 1911,segreteria@calcioplateola1911.it,,Da contattare,,
A.S.D. CALCIO UNION CUS,info@unioncus.it,,Da contattare,,
ACD Justinense,acdjustinense@libero.it,,Da contattare,,
A.S.D. Grantorto,asdgrantorto@gmail.com,,Da contattare,,
SPORTVISION ACADEMY ASD,sportvision.academy@gmail.com,,Da contattare,,
Novacalcio asd,asdnovacalcio@gmail.com,,Da contattare,,
ASD SAVIO 1971,asdsavio1971@gmail.com,,Da contattare,,
LUPARENSE F.C. S.S.D. a r.l.,1asquadraluparensefc@gmail.com,,Da contattare,,
ASD THERMAL TEOLO,segreteria@thermalteolo.it,,Da contattare,,
A.S.D. Canalbianco Acv,asdcanalbiancoacv@gmail.com,,Da contattare,,
A.S.D. Union River,union.river@libero.it,,Da contattare,,
Associazione Polisportiva Grignano Dilettantistica,apgdgrignano@gmail.com,,Da contattare,,
ASD GS Duomo,segreteria@scuolacalcioduomo.it,,Da contattare,,
ACD BOARA POLESINE,sg.boara2016@virgilio.it,,Da contattare,,
Us Calcio Badia,calciobadia@libero.it,,Da contattare,,
Polisportiva San Bortolo,info@polisportivasanbortolo.it,,Da contattare,,
A. S. D. Zigoni Oderzo,asdzigoni@legalmail.it,,Da contattare,,
Asd Pederobba 2015,asd.pederobba2015@libero.it,,Da contattare,,
A.S.D. Futsal Giorgione,futsalgiorgione@gmail.com,,Da contattare,,
A.C.D. Orsago,calciorsago@gmail.com,,Da contattare,,
A.S.D. LA RONCA,info@calciolaronca.it,,Da contattare,,
A.C.D. Portomansuè,portomansue.calcio@gmail.com,,Da contattare,,
A.S.D. Fregona Calcio,ASFREGONACALCIO@outlook.com,,Da contattare,,
U.S.D. Barbisano Eclisse A.S.D.,barbisanoeclisse@gmail.com,,Da contattare,,
A.S.D. MonteValdo,acdvaldosport@gmail.com,,Da contattare,,
Mareno Gialloblu S.S.D.,marenogialloblu@gmail.com,,Da contattare,,
MONTEGRAPPA S.S.D.aR.L.,segreteria@montegrappassd.it,,Da contattare,,
A.S.D. C.A. San Giuseppe,casangiuseppe@gmail.com,,Da contattare,,
A.S.D. Vittorio Falmec S.M.Colle,calciovittoriocolle@gmail.com,,Da contattare,,
SSD GODIGESE A R.L.,godigesecalcio@gmail.com,,Da contattare,,
CALCIO CORDIGNANO A.S.D.,cordignanocalcio@libero.it,,Da contattare,,
A.S.D. Union Feletto Vallata,felettovallata@libero.it,,Da contattare,,
ASD ALBAREDO INSIEME,segreteria@asdalbaredoinsieme.it,,Da contattare,,
DINAMO,infoathleticdinamo@gmail.com,,Da contattare,,
A.S.D. CIRCOLO OSPEDALIERI TREVISO,segreteriaospedalieri@gmail.com,,Da contattare,,
A.S.D. Calcio Caerano,segreteria.calciocaerano@gmail.com,,Da contattare,,
ASD CAPPELLA MAGGIORE FREGONA,info@asdcappellamaggiorefregona.it,,Da contattare,,
F.C. Casale ASD,f.c.casale@calciocasale.it,,Da contattare,,
A.P.S. Professional,professionallab2026@gmail.com,,Da contattare,,
Roncade Calcio,segreteria@roncadecalcio.it,,Da contattare,,
USD S.ELENA,segreteria.ussantelena@gmail.com,,Da contattare,,
ASD Calcio Femminile Vittorio Veneto,cfvittorioveneto@gmail.com,,Da contattare,,
San Gaetano Calcio ASD,sangaetanocalcio@tiscali.it,,Da contattare,,
A.S.D. CAMPOLONGO,calcio@campolongo.org,,Da contattare,,
ValdoSport 1957 A.S.D.,valdosport1957@gmail.com,,Da contattare,,
Master Ability Football Evolution ASD,masterabilityfe@gmail.com,,Da contattare,,
Calcio Montebelluna S.r.l.,segreteria@calciomontebelluna1919.it,,Da contattare,,
ASD MONTELLO,calciomontello@libero.it,,Da contattare,,
ASD ZERO BRANCO FBC 1932,info@zerobrancofbc.com,,Da contattare,,
ASD CALCIO SAN FIOR,calciosanfior@gmail.com,,Da contattare,,
A.C.D. Robeganese Fulgor Salzano,segreteria@robeganese.it,,Da contattare,,
Academy F.C. Spinea 1966 S.S.D. A R.L.,academy@fcspinea1966.it,,Da contattare,,
Spinea 1966 S.S.D. A R.L.,segreteria@fcspinea1966.it,,Da contattare,,
A.S.D. Calcio Cavallino,calciocavallino@libero.it,,Da contattare,,
A.S.D. Calcio Marghera,segreteria@calciomarghera.it,,Da contattare,,
A.S.D. Stra Riviera Del Brenta,calciostra@gmail.com,,Da contattare,,
Unione Graticolato Gelsi S.S.D.A.R.L.,segreteria@graticolatogelsi.it,,Da contattare,,
A.S.D. Calcio Meolo,calciomeolo@gmail.com,,Da contattare,,
Asd Nuovo San Pietro,nuovocalciosanpietro@gmail.com,,Da contattare,,
UNICA S.S.D. A R.L.,unicassd@ugroup.it,,Da contattare,,
U.S.D. FOSSO',fossocalcio@gmail.com,,Da contattare,,
DOLO1909PIANIGA S.S.D.A.R.L.,segreteria.ssddolo1909pianiga@gmail.com,,Da contattare,,
Asd Città di Caorle La Salute,caorlelasalutecalcio@gmail.com,,Da contattare,,
F.C. CALVI NOALE SSD a R.L.,fccalvinoalessdarl@legalmail.it,,Da contattare,,
A.S.D. Favaro 1948,asfavaro1948@tiscali.it,,Da contattare,,
ASD Polisportiva Bibione,polisportivabibione@libero.it,,Da contattare,,
ASD Dogado Calcio,dogadocalcio@gmail.com,,Da contattare,,
UNION SPINEA FC,segreteria@unionspinea.it,,Da contattare,,
ASD AUDACE San donà,amatoriaudacesandona@gmail.com,,Da contattare,,
